lineage,clinical_count,clinical_adjusted_pct,clinical_first_detection_date,ww_count_0.01,ww_adjusted_pct_0.01,ww_first_detection_date_0.01,ww_count_0.02,ww_adjusted_pct_0.02,ww_first_detection_date_0.02,ww_count_0.04,ww_adjusted_pct_0.04,ww_first_detection_date_0.04,ww_count_0.08,ww_adjusted_pct_0.08,ww_first_detection_date_0.08,ww_count_0.16,ww_adjusted_pct_0.16,ww_first_detection_date_0.16,ww_count_0.32,ww_adjusted_pct_0.32,ww_first_detection_date_0.32
B.1.1.387,0,0.0,,1,0.000152874060973699,2023-12-05,1,0.00016179479093139556,2023-12-05,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.388,0,0.0,,1,7.20062007097885e-05,2023-04-17,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.407,0,0.0,,1,0.00030111557464516464,2023-08-02,1,0.0003186867094103246,2023-08-02,1,0.0003532659529077963,2023-08-02,0,0.0,,0,0.0,,0,0.0,
B.1.1.416,0,0.0,,1,6.806061916651645e-05,2023-05-22,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.44,0,0.0,,1,9.330346414744022e-05,2023-08-07,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.442,0,0.0,,3,0.0007336531973555054,2023-06-22,2,0.0006967929657651315,2023-06-22,1,0.0006089104431392897,2025-09-30,0,0.0,,0,0.0,,0,0.0,
B.1.1.45,0,0.0,,1,0.00011733401661255004,2023-02-26,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.481,0,0.0,,1,0.00017636670003834927,2024-11-12,1,0.00018665830670171166,2024-11-12,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.482,0,0.0,,1,0.0002099955619360429,2023-04-24,1,0.0002222495289492465,2023-04-24,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.485,0,0.0,,1,7.614455663672281e-05,2023-03-27,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.51,0,0.0,,1,0.0001892726469198178,2023-04-17,1,0.00020031736020077547,2023-04-17,0,0.0,,0,0.0,,0,0.0,,0,0.0,
B.1.1.529,4,0.004853956581358379,2023-04-18,33,0.008736668618484942,2023-01-09,20,0.007910018036671256,2023-02-16,11,0.0068828111005278525,2023-02-16,4,0.00458943726046739,2023-02-27,0,0.0,,0,0.0,
B.1.1.7,0,0.0,,26,0.034383862837552175,2023-01-09,24,0.03617694170007319,2023-01-09,21,0.039279567510019174,2023-01-11,17,0.045484208295385235,2023-01-23,10,0.05466731477997569,2023-02-27,6,0.07766075412549589,2023-03-07
